DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2024,KURULUM YERİ /2024,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
DMO,2024/117,2024-05-06,DMO MERSİN İRTİBAT BÜROSU,ADANA ÇUKUROVA DEVLET HASTANESİ,ADANA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-125,60 GÜN,2024-07-05,
DMO,2024/118,2024-09-05,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ SAĞLIK UYGULAMA VE ARAŞTIRMA HASTANESİ,ÇANAKKALE,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2024/01-126,60 GÜN,2024-11-04,
DMO,2024/119,2024-09-20,STOK,STOK,,,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,,60 GÜN,,
İHALE,2024/155,2023-12-26,DMO VAN BÖLGE MÜDÜRLÜĞÜ,VAN İL SAĞLIK MÜDÜRLÜĞÜ- BAHÇESARAY İLÇE DEVLET HASTANESİ,VAN,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2023/01-113,90 GÜN,2024-03-25,
YURTDIŞI,2024/156,2024-02-10,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 300 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-024,60 GÜN,2024-03-08,
YURTDIŞI,2024/176,2024-02-10,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 300 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-081,60 GÜN,2024-03-08,
YURTDIŞI,2024/173,2024-02-19,ROMANYA ,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-036,60 GÜN,2024-03-24,
DMO,2024/165,2024-04-19,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA MAMAK AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-025,65 GÜN,2024-06-23,
YURTDIŞI,2024/201,2024-02-27,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 300 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-130,60 GÜN,2024-03-11,
YURTDIŞI,2024/178,2024-03-06,NİCU,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-049,60 GÜN,2024-04-15,
YURTDIŞI,2022/353,2023-09-18,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2024/01-057,60 GÜN,2024-04-15,
ÖZEL,2023/011,2023-01-02,PROVET VETERİNER ÜRÜNLERİ SAN VE TİC.A.Ş.,PROVET VETERİNER ÜRÜNLERİ SAN VE TİC.A.Ş.,POLATLI,GOLDBERG 675,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2024/01-214,15 GÜN,2024-06-10,
YURTDIŞI,2023/094,2024-02-27,LİNDA HANIM,FAS,FAS,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2024/01-044,15 GÜN,2024-03-08,
YURTDIŞI,2023/147,2024-07-31,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 422 D,422 LT TEK  KAPILI OTOKLAV CİHAZI,422 LT,2024/01-159,15 GÜN,2024-09-15,
YURTDIŞI,2023/201,2024-06-28,IRAK MERİVAN MODERN MEDİKAL,IRAK MERİVAN MODERN MEDİKAL,IRAK,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI VAKUMLU,75 LT,2024/01-215,15 GÜN,2024-06-10,
ÖZEL,2023/353,2024-09-21,Eldaş Test ve Kalibrasyon Laboratuvarları,Eldaş Test ve Kalibrasyon Laboratuvarları,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-114,65 GÜN,2024-11-25,
DMO,2023/356,2024-02-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-038,65 GÜN,2024-04-21,
DMO,2023/357,2024-02-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-039,65 GÜN,2024-04-21,
ÖZEL,2023/365,2024-04-16,İZMİR TEPECİK EAH,İZMİR TEPECİK EAH,İZMİR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-079,10 GÜN,2024-04-26,
ÖZEL,2024/203,2024-09-02,MİLAS DEVLET HASTANESİ,MİLAS DEVLET HASTANESİ,MUĞLA,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-112,10 GÜN,2024-09-15,
DMO,2023/370,2024-09-04,DMO ERZURUM İRTİBAT BÜROSU,ARDAHAN DEVLET HASTANESİ,ARDAHAN,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-092,60 GÜN,2024-11-08,
DMO,2023/371,2024-09-05,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SAĞLIK BAKANLIĞI ACİL SAĞLIK HİZMETLERİ GENEL MÜDÜRLÜĞÜ,ANKARA,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-093,65 GÜN,2024-11-09,
DMO,2023/372,2024-09-05,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SAĞLIK BAKANLIĞI ACİL SAĞLIK HİZMETLERİ GENEL MÜDÜRLÜĞÜ,ANKARA,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-094,65 GÜN,2024-11-09,
DMO,2023/373,2024-09-05,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,SAĞLIK BAKANLIĞI ACİL SAĞLIK HİZMETLERİ GENEL MÜDÜRLÜĞÜ,ANKARA,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-095,65 GÜN,2024-11-09,
ÖZEL,2023/374,2024-09-12,OPTİMED SAĞLIK HİZMETLERİ SAN. TİC. A.Ş.,OPTİMED SAĞLIK HİZMETLERİ SAN.TİC. A.Ş.,İSTANBUL,GOLDBERG 300 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-107,10 GÜN,2024-09-24,
YURTDIŞI,2023/375,2024-09-28,NİCU,ROMANYA,ROMANYA,STR 5512 S,300 LTEK KAPI OTOKLAV  (KAZAN YENİ 670X700X700 mm),300 LT,2024/01-121,10 GÜN,2024-11-02,
DMO,2023/384,2024-02-27,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ADIYAMAN EĞİTİM VE ARAŞTIRMA HASTANESİ,ADIYAMAN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-046,10 GÜN,2024-11-03,
DMO,2023/385,2024-03-07,DMO  MERSİN İRTİBAT BÜROSU,ADANA İL SAĞLIK MÜDÜRLÜĞÜ,ADANA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-051,65 GÜN,2024-05-11,
DMO,2023/416,2024-03-25,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,AYDIN KUŞADASI  DEVLET HASTANESİ,AYDIN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-053,65 GÜN,2024-05-29,
DMO,2023/417,2024-03-25,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,AYDIN KUŞADASI  DEVLET HASTANESİ,AYDIN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-054,65 GÜN,2024-05-29,
YURTDIŞI,2023/419,2024-07-05,IRAK,IRAK,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2024/01-209,65 GÜN,2024-07-30,
ÖZEL,2023/421,2024-05-24,ALMER SAĞLIK HİZMETLERİ MEDİKAL TARIM İNŞ.GIDA VE TİC.LTD.ŞTİ. ,ÖZEL KONYA GÖZ HASTANESİ,KONYA,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2024/01-211,65 GÜN,2024-06-10,
ÖZEL,2023/420,2024-03-15,ÖZEL EVDİŞ POLİKLİNİĞİ,ÖZEL EVDİŞ POLİKLİNİĞİ,SAKARYA,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2024/01-064,65 GÜN,2024-04-14,
ÖZEL,2023/418,2024-07-08,ÖZEL KUDRET HASTANESİ,ÖZEL KUDRET HASTANESİ,ANKARA,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2024/01-210,10 GÜN,2024-07-16,
YURTDIŞI,2023/425,2024-04-15,LLC  MK BİO,RUSYA,RUSYA,GOLDBERG 2000 D,2000 LT ÇİFT KAPILI OTOKLAV CİHAZI,2000 LT,2024/01-078,10 GÜN,2024-04-22,
DMO,2022/049,2024-03-15,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ÇORUM İL SAĞLIK MÜDÜRLÜĞÜ (ÇORUM ADSM),ÇORUM,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2024/01-065,65 GÜN,2024-05-19,
YURTDIŞI,2022/109,2024-02-26,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,2024/01-043,10 GÜN,2024-03-11,
YURTDIŞI,2022/110,2024-09-09,NICU,ROMANYA,ROMANYA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI 35X52,120 LT,2024/01-102,65 GÜN,2024-10-15,
YURTDIŞI,2022/489,2022-09-14,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2024/01-058,65 GÜN,2024-04-15,
YURTDIŞI,2023/422,2024-04-24,FAS,FAS,FAS,GOLDBERG 422 D,422 LT ÇİFT  KAPILI OTOKLAV CİHAZI,422 LT,2023/01-127,65 GÜN,2024-04-26,
İHALE,2024/177,2024-04-29,"
MANİSA İL SAĞLIK MÜDÜRLÜĞÜ
",MANİSA SARIGÖL DEVLET HASTANESİ,MANİSA,STR 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-045,65 GÜN,2024-04-27,
YURTDIŞI,2024/202,2024-08-29,FAS,FAS,FAS,GOLDBERG 300 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-099,65 GÜN,2024-09-20,
DMO,2023/369,2024-04-29,BEYLİKDÜZÜ ADSM,BEYLİKDÜZÜ ADSM,İSTANBUL,ERS 5512 D,300 LT ÇİFT  KAPILI OTOKLAV CİHAZI,300 LT,2024/01-100,65 GÜN,2024-09-21,
YURTDIŞI,2024/206,2024-07-31,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 422 D,422 LT ÇİFT  KAPILI OTOKLAV CİHAZI,422 LT,2024/01-133,65 GÜN,2024-09-15,
YURTDIŞI,2024/207,2024-07-31,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 422 D,422 LT ÇİFT  KAPILI OTOKLAV CİHAZI,422 LT,2024/01-134,65 GÜN,2024-08-12,
ÖZEL,2024/208,2024-09-17,LİV DİŞ HASTANESİ,LİV DİŞ HASTANESİ,ANKARA,GOLDBERG 422 D,422 LT ÇİFT  KAPILI OTOKLAV CİHAZI,422 LT,2024/01-113,65 GÜN,2024-09-27,
YURTDIŞI,2024/209,2024-09-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 422 D,422 LT ÇİFT  KAPILI OTOKLAV CİHAZI,422 LT,2024/01-115,65 GÜN,2024-10-13,
YURTDIŞI,2024/244,2024-07-18,LLC MK BİO,RUSYA,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2024/01-216,65 GÜN,2024-08-15,
