DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2022,KURULUM YERİ /2022,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,TESLİM SÜRESİ,"TESLİM 
TARİHİ",İRSALİYE TARİHİ
YURTDIŞI,2022/275,2022-06-14,FİRSTAZMED,AZERBAYCAN,AZERBAYCAN,GOLDBERG 422 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2022/01-065,,2022-07-01,
DMO,2022/276,2022-10-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL PROF. DR. CEMİL TAŞÇIOĞLU ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT ,2022/01-086,65 GÜN,2022-12-08,cihaz gitti.
DMO,2022/278,2022-09-20,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ISPARTA SÜLEYMAN DEMİREL ÜNİVERSİTESİ SAĞLIK ARAŞTIRMA VE UYGULAMA HASTANESİ,ISPARTA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-101,  60 GÜN,2022-11-19,
DMO,2022/280,2022-09-26,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY ÜNİVERSİTESİ,BURDUR,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-103,  60 GÜN,2022-11-25,
DMO,2022/279,2022-09-28,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL İL SAĞLIK MÜDÜRLÜĞÜ- HASEKİ EĞİTİM VEARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-102, 65 GÜN ,2022-12-02,
DMO,2022/277,2022-09-28,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL İL SAĞLIK MÜDÜRLÜĞÜ- HASEKİ EĞİTİM VEARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-099, 65 GÜN ,2022-12-02,
DMO,2022/281,2022-09-30,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SİNCAN DR. NAFİZ KÖREZ DEVLET HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-104, 65 GÜN ,2022-12-04,
DMO,2022/282,2022-09-30,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SİNCAN DR. NAFİZ KÖREZ DEVLET HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-105, 65 GÜN ,2022-12-04,
DMO,2022/283,2022-10-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL PROF. DR. CEMİL TAŞÇIOĞLU ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-106, 65 GÜN ,2022-12-08,
YURTDIŞI,2022/284,2022-06-18,NICU,ROMANYA,ROMANYA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-040,,2022-06-12,
DMO,2022/287,2022-06-27,DMO DİYARBAKIR İRTİBAT BÜROSU,ŞIRNAK İL SAĞLIK MÜDÜRLÜĞÜ,ŞIRNAK,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-069, 65 GÜN,2022-08-31,
ÖZEL,2022/286,2022-07-07,ERTUNÇ ÖZCANSAĞLIK TESİSLERİ VE TIBBİ CİHAZLAR İNŞAAT SAN. TİC. A. Ş.,KONYA SEYDİŞEHİR DEVLET HASTANESİ,KONYA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-067, 6 HAFTA,2022-08-12,
İHALE,2022/288,2022-07-18,HARRAN ÜNİVERSİTESİ,HARRAN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,ŞANLIURFA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-070, 60 GÜN,2022-09-16,
DMO,2022/289,2022-08-17,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN BAFRA AĞIZ VE DİŞ SAĞLIĞI MEREKZİ,SAMSUN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-071, 60 GÜN,2022-10-16,
DMO,2022/290,2022-08-29,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,SAMSUN İL SAĞLIK MÜDÜRLÜĞÜ,SAMSUN,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-087, 60 GÜN,2022-10-28,
İHALE,2022/291,2022-04-08,BAHÇEŞEHİR ÜNİVERSİTESİ,BAHÇEŞEHİR ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-085,,2022-05-20,
YURTDIŞI,2022/292,2022-08-05,ROMANYA,ROMANYA,ROMANYA,STR 5512 S,300 LT TEK KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-075,,2022-08-26,
DMO,2022/293,2022-08-11,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY İL SAĞLIK MÜDÜRLÜĞÜ,HATAY,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-079, 65 GÜN,2022-10-15,
DMO,2022/294,2022-08-11,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY İL SAĞLIK MÜDÜRLÜĞÜ,HATAY,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-080, 65 GÜN,2022-10-15,
YURTDIŞI,2022/296,2022-08-15,NIİJERYA,NİJERYA,NİJERYA,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-082,,2022-09-04,
YURTDIŞI,2022/295,2022-10-13,RUANDA,RUANDA,RUANDA,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-081,,2022-10-18,
YURTDIŞI,2022/297,2022-07-19,FAS,FAS,FAS,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-072,,2022-08-05,
DMO,2022/047,2022-06-27,DMO MERSİN İRTİBAT BÜROSU,AKSARAY ÜNİVERSİTESİ REKTÖRLÜĞÜ İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI,AKSARAY,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-049,,,
ÖZEL,2022/299,2022-09-02,ÖZEL MEDİKAL TIBBİ CİHAZLAR SAN VE TİC. A.Ş.,ÖZEL MEDİKAL TIBBİ CİHAZLAR SAN VE TİC. A.Ş.,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-088,15 GÜN,2022-09-17,
ÖZEL,2022/308,2022-07-19,TEKEN ELEKTRİK ENERJİ ÜRETİM İNŞAAT TİCARET A. Ş.,MERSİN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,MERSİN,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-073,30 GÜN,2022-06-18,
ÖZEL,2022/309,2022-07-19,TEKEN ELEKTRİK ENERJİ ÜRETİM İNŞAAT TİCARET A. Ş.,MERSİN ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,MERSİN,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-074,30 GÜN,2022-06-18,
ÖZEL,2022/314,2022-05-29,KENT KULAK BURUN BOĞAZ VE ESTETİK CERRAHİ MERKEZİ,KENT KULAK BURUN BOĞAZ VE ESTETİK CERRAHİ MERKEZİ,ANKARA,STR 5512 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2022/01-076,15 GÜN,2022-06-13,
2023 YILINA AKTARILDI,2022/326,2022-08-20,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,,,,kazan yok - nerede
2023 YILINA AKTARILDI,2022/328,2022-08-29,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,,,,
2023 YILINA AKTARILDI,2022/329,2022-08-29,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,,,,
YURTDIŞI,2022/336,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-093,,2022-09-30,
YURTDIŞI,2022/337,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-094,,2022-09-30,
YURTDIŞI,2022/338,2022-09-03,RUSYA FEDARASYONU,RUSYA FEDARASYONU,RUSYA,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-095,,2022-09-30,
YURTDIŞI,2022/343,2022-10-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-121,,2022-11-19,
2023 YILINA AKTARILDI,2022/342,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,160 LT ÇİFT KAPILI OTOKLAV CİHAZI ,160 LT,,,,
YURTDIŞI,2022/344,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 160 S (40*40),160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-176,,2022-12-23,
YURTDIŞI,2022/345,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 160 S (40*40),160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-177,,2022-12-23,
YURTDIŞI,2022/346,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 160 S (40*40),160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-178,,2022-12-23,
YURTDIŞI,2022/347,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 160 S (40*40),160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-179,,2022-12-23,
YURTDIŞI,2022/348,2022-11-24,MISIR,MISIR,MISIR,GOLDBERG 160 S (40*40),160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,2022/01-180,,2022-12-23,
2023 YILINA AKTARILDI,2022/349,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILINA AKTARILDI,2022/350,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILINA AKTARILDI,2022/351,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILINA AKTARILDI,2022/352,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILINA AKTARILDI,2022/353,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,,160 LT TEK KAPILI OTOKLAV CİHAZI ,160 LT,,,,
2023 YILINA AKTARILDI,2022/354,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
2023 YILINA AKTARILDI,2022/355,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
2023 YILINA AKTARILDI,2022/356,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
2023 YILINA AKTARILDI,2022/357,2022-12-06,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,2022/01-190,,2022-12-10,DUBAİ FUARA GİDİP GELDİ VE CEZAYİRE SATILDI.
2023 YILINA AKTARILDI,2022/358,2022-09-14,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,2023 YILINA AKTARILDI,,250 LT ÇİFT KAPILI OTOKAV CİHAZI,250 LT,,,,
YURTDIŞI,2022/362,2022-09-24,IRAK MERİVAN,IRAK,IRAK,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,250 LT,2022/01-100,,2022-10-24,
DMO,2022/385,2022-10-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL PROF. DR. CEMİL TAŞÇIOĞLU ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-107,65 GÜN,2022-12-08,
DMO,2022/386,2022-10-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL PROF. DR. CEMİL TAŞÇIOĞLU ŞEHİR HASTANESİ,İSTANBUL,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-108,65 GÜN,2022-12-08,
DMO,2022/388,2022-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ GÜLHANE DİŞ HEKİMLİĞİ FAKÜLTESİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-109,65 GÜN,2022-12-14,
DMO,2022/389,2022-10-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ GÜLHANE DİŞ HEKİMLİĞİ FAKÜLTESİ,ANKARA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-110,65 GÜN,2022-12-14,
DMO,2022/390,2022-10-11,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA İL SAĞLIK MÜDÜRLÜĞÜ-SEYDİKEMER DEVLET HASTANESİ,MUĞLA,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-111,65 GÜN,2022-12-15,
DMO,2022/391,2022-10-11,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,MUĞLA İL SAĞLIK MÜDÜRLÜĞÜ-SEYDİKEMER DEVLET HASTANESİ,MUĞLA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-112,65 GÜN,2022-12-15,
YURTDIŞI,2022/392,2022-09-24,MERİVAN-IRAK,IRAK,IRAK,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI ,300 LT,2022/01-113,,2022-10-24,
DMO,2022/395,2022-10-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-114,65 GÜN,2022-12-24,
DMO,2022/396,2022-10-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-115,65 GÜN,2022-12-24,
DMO,2022/397,2022-10-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-116,65 GÜN,2022-12-24,
DMO,2022/398,2022-10-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-117,65 GÜN,2022-12-24,
YURTDIŞI,2022/399,2022-10-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2022/01-119,,2022-11-19,
YURTDIŞI,2022/400,2022-11-02,ARNAVUTLUK,ARNAVUTLUK,ARNAVUTLUK,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2022/01-124,,,
DMO,2022/401,2022-11-10,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,KIRŞEHİR İL SAĞLIK MÜDÜRLÜĞÜ -MUCUR DEVLET HASTANESİ,KIRŞEHİR,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2022/01-165,65 GÜN,2023-01-14,
DMO,2022/404,2022-10-20,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2022/01-118,65 GÜN,2022-12-24,
YURTDIŞI,2022/045,2022-10-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-019,,2022-11-19,
DMO,2022/409,2022-10-26,DMO VAN İRTİBAT BÜROSU ,VAN İL SAĞLIK MÜDÜRLÜĞÜ - VAN ERCİŞ ADSM,VAN,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2022/01-122,65 GÜN,2022-12-30,
YURTDIŞI,2022/416,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-125,,2022-12-20,
YURTDIŞI,2022/417,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-126,,2022-12-20,
YURTDIŞI,2022/418,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-127,,2022-12-20,
YURTDIŞI,2022/419,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-128,,2022-12-20,
YURTDIŞI,2022/420,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-129,,2022-12-20,
YURTDIŞI,2022/421,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-130,,2022-12-20,
YURTDIŞI,2022/422,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-131,,2022-12-20,
YURTDIŞI,2022/423,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-132,,2022-12-20,
YURTDIŞI,2022/424,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-133,,2022-12-20,
YURTDIŞI,2022/425,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-134,,2022-12-20,
YURTDIŞI,2022/426,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-135,,2022-12-20,
YURTDIŞI,2022/427,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-136,,2022-12-20,
YURTDIŞI,2022/428,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-137,,2022-12-20,
YURTDIŞI,2022/429,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-138,,2022-12-20,
YURTDIŞI,2022/430,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-139,,2022-12-20,
YURTDIŞI,2022/431,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-140,,2022-12-20,
YURTDIŞI,2022/432,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-141,,2022-12-20,
YURTDIŞI,2022/433,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-142,,2022-12-20,
YURTDIŞI,2022/434,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-143,,2022-12-20,
YURTDIŞI,2022/435,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-144,,2022-12-20,
YURTDIŞI,2022/436,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-145,,2022-12-20,
YURTDIŞI,2022/437,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-146,,2022-12-20,
YURTDIŞI,2022/438,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-147,,2022-12-20,
YURTDIŞI,2022/439,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-148,,2022-12-20,
YURTDIŞI,2022/440,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-149,,2022-12-20,
YURTDIŞI,2022/441,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-150,,2022-12-20,
YURTDIŞI,2022/442,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-151,,2022-12-20,
YURTDIŞI,2022/443,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-152,,2022-12-20,
YURTDIŞI,2022/444,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-153,,2022-12-20,
YURTDIŞI,2022/445,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-154,,2022-12-20,
YURTDIŞI,2022/446,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-155,,2022-12-20,
YURTDIŞI,2022/447,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-156,,2022-12-20,
YURTDIŞI,2022/448,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-157,,2022-12-20,
YURTDIŞI,2022/449,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-158,,2022-12-20,
YURTDIŞI,2022/450,2022-11-02,KAMBOÇYA,KAMBOÇYA,KAMBOÇYA,GOLDBERG 75 V,75 LT DİK TİP OTOKLAV CİHAZI,75 LT,2022/01-159,,2022-12-20,
DMO,2022/453,2022-11-07,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL İL SAĞLIK MÜDÜRLÜĞÜ- HASEKİ EĞİTİM VEARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-160, 65 GÜN ,2023-01-11,
DMO,2022/454,2022-11-07,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL İL SAĞLIK MÜDÜRLÜĞÜ- HASEKİ EĞİTİM VEARAŞTIRMA HASTANESİ,İSTANBUL,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-161, 65 GÜN ,2023-01-11,
DMO,2022/455,2022-11-07,DMO 1 NOLU OPERASYONEL SÜREÇLER DAİRE BAŞKANLIĞI,ANKARA SİNCAN DR. NAFİZ KÖREZ DEVLET HASTANESİ,ANKARA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI ,840 LT,2022/01-162, 65 GÜN ,2023-01-11,
YURTDIŞI,2022/456,2022-11-09,IRAK,IRAK,IRAK,GOLDBERG 675 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2022/01-14064,,,
