DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2018,KURULUM YERİ /2018,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ
YURTDIŞI,2018/287,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-114,35,
YURTDIŞI,2018/288,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-115,35,
YURTDIŞI,2018/289,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-116,35,
YURTDIŞI,2018/290,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-117,35,
YURTDIŞI,2018/291,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-118,35,
YURTDIŞI,2018/292,2018-09-19,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,2018/01-119,35,
YURTDIŞI,2018/293,2018-09-19,RAWAAT-ALMAJARRA COMPANY,RAWAAT-ALMAJARRA COMPANY,IRAK,STR 5510 D,250 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2018/01-120,3 HAFTA,
ÖZEL,2018/296,2018-09-24,MALTEPE ÜNİVERSİTESİ TIP FAKÜLTESİ,MALTEPE ÜNİVERSİTESİ TIP FAKÜLTESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-121,7 GÜN,
ÖZEL,2018/298,2018-09-26,NİHAT MİTHAT ÖZTÜRE VE VARİSLERİ,BERGAMA DEVLET HASTANESİ,BALIKESİR,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-122,20 GÜN,
DMO,2018/305,2018-10-12,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,GÖRELE DEVLET HASTANESİ,GİRESUN,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-123,50 GÜN,
ÖZEL,2018/306,2018-10-23,ÖZEL TUZLA HASTANESİ,ÖZEL TUZLA HASTANESİ,İSTANBUL,STR 5512 D,300 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,300 lt,2018/01-124,20 GÜN,
YURTDIŞI,2018/308,2018-10-31,SHORESH ENTERPRISE,SHORESH ENTERPRISE,SİNGAPUR,STR 7712 D,675 LT ÇİFT KAPILI OTOKLAV CİHAZI,675 LT,2018/01-126,15 GÜN,
ÖZEL,2018/312,2018-11-13,RU GIDA SANAYİ VE TİC.LTD.ŞTİ.,RU GIDA SANAYİ VE TİC.LTD.ŞTİ.,İSTANBUL,STR 7715 S,840 LT TEK KAYAR KAPILI OTOKLAV CİHAZI,840 LT,2018/01-127,30 GÜN,
DMO,2018/317,2018-11-13,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,KINIK DEVLET HASTANESİ,İZMİR,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-128,15GÜN,
İHALE,2018/314,2018-11-14,KOCAELİ ÜNİVERSİTESİ BAP KOORDİNASYON BİRİMİ,KOCAELİ ÜNİVERSİTESİ BAP KOORDİNASYON BİRİMİ,KOCAELİ,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2018/01-129,60 GÜN,
DMO,2018/316,2018-11-15,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,HASANKEYF İLÇE DEVLET HASTANESİ,BATMAN,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-130,50 GÜN,
DMO,2018/331,2018-12-20,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,KESTEL DEVLET HASTANESİ,BURSA,ERS 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-131,51 GÜN,
DMO,2018/318,2018-11-15,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,KESTEL DEVLET HASTANESİ,BURSA,ERS 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-132,55 GÜN,
ÖZEL,2018/319,2018-11-16,ALYANS MEDİKAL,ALYANS MEDİKAL,ANKARA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2018/01-133,20 GÜN,
ÖZEL,2018/320,2018-11-16,ALYANS MEDİKAL,ALYANS MEDİKAL,ANKARA,STR 5510 D,250 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,250 LT,2018/01-134,20 GÜN,
İHALE,2018/330,2018-12-01,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,STR 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-135,29 GÜN,
İHALE,2018/332,2018-12-01,NUH NACİ YAZGAN ÜNİVERSİTESİ,NUH NACİ YAZGAN ÜNİVERSİTESİ,KAYSERİ,STR 6613 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-136,30 GÜN,
YURTDIŞI,2018/227,2018-12-06,SHİNYAR COMPANY FOR GENERAL,SHİNYAR COMPANY FOR GENERAL,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2018/01-137,30 GÜN,
YURTDIŞI,2018/333,2018-12-06,SHİNYAR COMPANY FOR GENERAL,SHİNYAR COMPANY FOR GENERAL,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAYAR KAPILI OTOKLAV CİHAZI,550 LT,2018/01-138,30 GÜN,
ÖZEL,2018/313,2018-12-24,A HOSPİTALSAĞLIKHİZ.TİC.LTD.ŞTİ.,A HOSPİTALSAĞLIKHİZ.TİC.LTD.ŞTİ.,İSTANBUL,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2018/01-139,15 GÜN,
YURTDIŞI,2018/057,2018-01-05,MERİVAN,MERİVAN,IRAK,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,,16 GÜN,
YURTDIŞI,2018/063,2018-01-23,MERİVAN,MERİVAN,IRAK,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,,17 GÜN,
YURTDIŞI,2018/242,2018-08-30,ETİYOPYA,ETİYOPYA,ETİYOPYA,STR 75 V,75 LT VAKUMLU OTOKLAV CİHAZI,75 LT,,18 GÜN,
