kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,irsaliye_tarihi,aciklama,solusyon_fatura,bidon_acilisi,uts_no
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1167,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1168,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1169,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1170,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1171,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1172,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-12-24,ERBİL ŞİFA SAĞLIK,,IRAK,,KARTUŞ,,2019/07-1173,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1174,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1175,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1176,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1177,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1178,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1179,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-12-24,ERBİL ŞİFA SAĞLIK,,IRAK,,KARTUŞ,,2019/07-1180,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/057,2019-07-08,METRONİKS MEDİKAL-AKSARAY EĞİTİM ARAŞTIRMA HASTANESİ İHALESİ İÇİN,,AKSARAY,,KARTUŞ,,2019/07-1181,,,,SATIŞ İŞ ARTIŞI,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,İHALE,2019/058,2019-07-11,KARS İL SAĞLIK MÜDÜRLÜĞÜ,,KARS,,KARTUŞ,,2019/07-1182,,,,İHALE NUMUNESİDİR.,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,İHALE,2019/059,2019-07-11,KOCAELİ DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1183,,,,İHALE NUMUNESİDİR.,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1184,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1185,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1186,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1187,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1188,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1189,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1190,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1191,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1192,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1193,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1194,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1195,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1196,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1197,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1198,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1199,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1200,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1201,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1202,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/060,2019-07-13,DTH-ONKOLOJİ HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1203,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1204,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1205,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1206,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1207,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1208,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1209,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1210,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1211,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1212,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1213,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1214,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1215,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1216,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1217,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1218,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1219,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1220,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1221,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1222,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,YURTDIŞI,2019/061,2019-10-23,EKVATOR,,EKVATOR,,KARTUŞ,,2019/07-1223,,,,SATIŞ YENİ YEŞİL,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1224,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1225,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1226,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1227,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1228,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1229,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1230,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1231,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1232,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1233,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1234,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1235,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1236,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1237,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1238,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1239,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1240,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1241,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1242,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1243,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1244,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1245,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1246,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1247,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1248,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/061,2019-11-07,LÖSANTE (SARI GİTTİ BEYAZLAR GELDİ),,ANKARA,,KARTUŞ,,2019/07-1249,,,,DEĞİŞİM (SARI),25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1250,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1251,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1252,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1253,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1254,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1255,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1256,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1257,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1258,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-19,SURUÇ DEVLET HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1259,,,,SATIŞ YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-25,TATVAN DEVLET HASTANESİ,,BİTLİS,,KARTUŞ,,2019/07-1260,,,,DEĞİŞİM YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-25,TATVAN DEVLET HASTANESİ,,BİTLİS,,KARTUŞ,,2019/07-1261,,,,DEĞİŞİM YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-25,MEHMET AKİF İNAN EĞİTİM VE ARAŞTIRMA HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1262,,,,DEĞİŞİM YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,DEĞİŞİM,2019/061,2019-11-25,MEHMET AKİF İNAN EĞİTİM VE ARAŞTIRMA HASTANESİ,,ŞANLIURFA,,KARTUŞ,,2019/07-1263,,,,DEĞİŞİM YENİ KARTUŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/062,2019-07-19,FİNİKE DEVLET HASTANESİ,,ANTALYA,,KARTUŞ,,2019/07-1264,,,,SERVİSTE KULLANILANIN YERİNE,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/062,2019-07-19,FİNİKE DEVLET HASTANESİ,,ANTALYA,,KARTUŞ,,2019/07-1265,,,,SERVİSTE KULLANILANIN YERİNE,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,numune,2019/063,2019-07-22,ANKARA ÜNİVERSİTESİ İBNİ SİNA HASTANESİ,,ANKARA,,KARTUŞ,,2019/07-1266,,,,NUMUNE,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/064,2019-07-24,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1267,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/064,2019-07-24,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1268,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/064,2019-07-24,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1269,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/064,2019-07-24,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1270,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1271,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1272,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1273,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1274,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1275,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1276,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1277,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1278,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1279,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,GÖLCÜK NECATİ ÇELİK DEVLET HASTANESİ,,KOCAELİ,,KARTUŞ,,2019/07-1280,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1281,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1282,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
KARTUS,ÖZEL,2019/065,2019-07-29,SANCAKTEPE EĞİTİM ARAŞTIRMA HASTANESİ,,İSTANBUL,,KARTUŞ,,2019/07-1283,,,,SATIŞ,25.4.2019-HPS2019-00387,4/29/2019,
