kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparisin_durumu,irsaliye_tarihi
yikama,DMO,2019/179,2019-10-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,ELBİSTAN ADSM,KAHRAMANMARAŞ,TSY 360,360 LT YIKAMA CİHAZI,360 LT,2019/05-034,78,2019-12-27,,
yikama,ÖZEL,2019/224,2019-10-17,HAZAR SU ARITMA SİSTEMLERİ,HAZAR SU ARITMA SİSTEMLERİ,İSTANBUL,GY 360,360 LT TEK KAPILI YIKAMA CİHAZI,360 LT,2019/05-036,72,2019-12-28,,
yikama,İHALE,2019/227,2019-10-22,ÇAYCUMA DEVLET HASTANESİ,ÇAYCUMA DEVLET HASTANESİ,ZONGULDAK,GY 360,360 LT TEK KAPILI YIKAMA CİHAZI,360 LT,2019/05-037,68,2019-12-29,,
yikama,DMO,2019/012 (YÜKSELİK),2019-12-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KIRKLARELİ VİZE DEVLET HASTANESİ,KIRKLARELİ,STERİLNET 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-040,26,2019-12-30,,
yikama,İHALE,2019/231,2019-11-25,BİTLİS DEVLET HASTANESİ,BİTLİS DEVLET HASTANESİ,BİTLİS,GY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-038,36,2019-12-31,,
yikama,DMO,2019/280,2019-11-28,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA CİHAZI,290 LT,2019/05-039,34,2020-01-01,,
yikama,YURTDIŞI,2019/284,2019-12-16,AL MASARA HOSPİTAL,AL MASARA HOSPİTAL,LİBYA-SURMAN,GY 290 O,290 LT YIKAMA CİHAZI,290 LT,2019/05-026,17,2020-01-02,,
yikama,DMO,2021/135,2021-07-09,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BANDIRMA ADSM,BALIKESİR,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2020/05-049,37.0,2021-08-15 00:00:00,,
yikama,ÖZEL,2020/374,2020-12-25,SAMSUN MEDİKAL GRUP ÖZEL SAĞLIK HİZM.A.Ş.,MLPCARE VADİ İSTANBUL PROJESİ,İSTANBUL,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-001,66.0,2021-03-01 00:00:00,,
yikama,ÖZEL,2020/375,2020-12-25,SAMSUN MEDİKAL GRUP ÖZEL SAĞLIK HİZM.A.Ş.,MLPCARE VADİ İSTANBUL PROJESİ,İSTANBUL,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-002,66.0,2021-03-01 00:00:00,,
yikama,ÖZEL,2020/283,2020-12-28,KARA MEHMET MERMER SAN.LTD.ŞTİ.,İSCEHİSAR DEVLET HASTANESİ,AFYONKARAHİSAR,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-003,16.0,2021-01-13 00:00:00,,
yikama,YURTDIŞI,2020/274,2021-01-07,RAWAT ALMAJARRA,RAWAT ALMAJARRA,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-004,16.0,2021-01-23 00:00:00,,
yikama,ÖZEL,2020/367,2021-06-19,STERİLİZASYON MEDİKAL,STERİLİZASYON MEDİKAL,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-005,2.0,2021-06-21 00:00:00,,
yikama,ÖZEL,2020/384,2021-06-22,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-006,30.0,2021-07-22 00:00:00,,
yikama,ÖZEL,2020/386,2021-06-22,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-007,31.0,2021-07-23 00:00:00,,
yikama,ÖZEL,2020/390,2021-03-22,ETA 21 İNŞAAT ELEKTRİK,JİYAN HOSPİTAL,DİYARBAKIR,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-008,14.0,2021-04-05 00:00:00,,
yikama,ÖZEL,2021/126,2021-03-22,ETA 21 İNŞAAT ELEKTRİK,JİYAN HOSPİTAL,DİYARBAKIR,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-009,14.0,2021-04-05 00:00:00,,
yikama,İHALE,2021/141,2021-04-20,ERDEMLİ DEVLET HASTANESİ,ERDEMLİ DEVLET HASTANESİ,MERSİN,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-010,20.0,2021-05-10 00:00:00,,
yikama,DMO,2020/273,2021-02-23,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ ÇAPA TIP FAKÜLTESİ,İSTANBUL,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-011,10.0,2021-03-05 00:00:00,,
yikama,DMO,2020/376,2021-03-04,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA PAMUKOVA İLÇE DEVLET HASTANESİ,SAKARYA,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-012,64.0,2021-05-07 00:00:00,,
yikama,DMO,2021/138,2021-03-31,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-013,64.0,2021-06-03 00:00:00,,
yikama,DMO,2021/139,2021-04-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,SINDIRGI DEVLET HASTANESİ,BALIKESİR,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-014,64.0,2021-06-11 00:00:00,,
yikama,DMO,2021/186,2021-04-19,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BOZÜYÜK DEVLET HASTANESİ,BİLECİK,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-015,64.0,2021-06-22 00:00:00,,
yikama,DMO,2021/140,2021-07-29,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ÇANAKKALE,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-016,59.0,2021-09-26 00:00:00,,
yikama,DMO,2021/215,2021-10-15,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KARABAĞLAR BELEDİYE BAŞKANLIĞI VETERİNER İŞLERİ,İZMİR,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-017,64.0,2021-12-18 00:00:00,,
yikama,DMO,2021/202,2021-09-24,DMO VAN BÖLGE MÜDÜRLÜĞÜ,ÇALDIRAN DEVLET HASTANESİ,VAN,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-018,64.0,2021-11-27 00:00:00,,
yikama,DMO,2020/385,2021-02-12,DMO GENEL MÜDÜRLÜĞÜ,ARNAVUTLUK FİER HASTANESİ,ARNAVUTLUK,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-019,37.0,2021-03-21 00:00:00,,
yikama,DMO,2020/370,2021-03-08,DMO GENEL MÜDÜRLÜĞÜ,MAMAK DEVLET HASTANESİ,ANKARA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-020,64.0,2021-05-11 00:00:00,,
yikama,DMO,2019/229,2021-04-06,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,CEYLANPINAR DEVLET HASTANESİ,ŞANLIURFA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-021,64.0,2021-06-09 00:00:00,,
yikama,DMO,2020/369,2021-05-17,DMO GENEL MÜDÜRLÜĞÜ,KAZAN HAMDİ ERİŞ DEVLET HASTANESİ,ANKARA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-022,64.0,2021-07-20 00:00:00,,
yikama,DMO,2020/371,2021-05-26,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,EGE ÜNİVERSİTESİ,İZMİR,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-023,59.0,2021-07-24 00:00:00,,
yikama,DMO,2021/318,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-024,64.0,2021-11-27 00:00:00,,
yikama,ÖZEL,2021/319,2021-10-12,ORDEM YAPI İTH.İHR.SAN.TİC.LTD.ŞTİ.,TRAKYA ÜNİVERSİTESİ,EDİRNE,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-025,30.0,2021-11-11 00:00:00,,
yikama,DMO,2021/321,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-026,64.0,2021-11-27 00:00:00,,
yikama,ÖZEL,2021/142,2021-04-29,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,ESTELİT SAĞLIK HİZMETLERİ LTD.ŞTİ.,İSTANBUL,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-027,52.0,2021-06-20 00:00:00,,
yikama,YURTDIŞI,2021/143,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-028,25.0,2021-06-30 00:00:00,,
yikama,YURTDIŞI,2021/144,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-029,25.0,2021-06-30 00:00:00,,
yikama,YURTDIŞI,2021/145,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-030,-44357.0,,,
yikama,YURTDIŞI,2021/146,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-031,-44357.0,,,
yikama,ÖZEL,2021/131,2021-06-24,KUZU GRUP,HATAY DÖRTYOL DEVLET HASTANESİ,HATAY,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-032,30.0,2021-07-24 00:00:00,,
yikama,ÖZEL,2021/132,2021-06-24,KUZU GRUP,HATAY DÖRTYOL DEVLET HASTANESİ,HATAY,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-033,30.0,2021-07-24 00:00:00,,
yikama,ÖZEL,2021/134,2021-06-26,GELİŞİM ÜNİVERSİTESİ,GELİŞİM ÜNİVERSİTESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-034,29.0,2021-07-25 00:00:00,,
yikama,ÖZEL,2021/147,2021-07-01,GÜVEN HASTANESİ,GÜVEN HASTANESİ,ANKARA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-035,30.0,DERHAL,,
yikama,ÖZEL,2021/133,2021-07-02,LTS GLOBAL SAĞLIK SAN.TİC.A.Ş.,ŞİŞLİ SARIYER HAMİDİYE EFTAL EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-036,3.0,2021-07-05 00:00:00,,
yikama,ÖZEL,2021/135,2021-07-02,LTS GLOBAL SAĞLIK SAN.TİC.A.Ş.,ŞİŞLİ SARIYER HAMİDİYE EFTAL EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-037,3.0,2021-07-05 00:00:00,,
yikama,YURTDIŞI,2021/137,2021-03-31,"MME, LLC",UKRAYNA,UKRAYNA,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-038,142.0,2021-08-20 00:00:00,,
yikama,DMO,2021/136,2021-08-13,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,KİLİS ADSM,KİLİS,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-039,64.0,2021-10-16 00:00:00,,
yikama,ÖZEL,2021/280,2021-08-16,LOTEZ SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,HASEKİ EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-040,18.0,2021-09-03 00:00:00,,
yikama,ÖZEL,2021/281,2021-08-16,LOTEZ SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,HASEKİ EĞİTİM ARAŞTIRMA HASTANESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-041,18.0,2021-09-03 00:00:00,,
yikama,DMO,2021/187,2021-08-17,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-042,64.0,2021-10-20 00:00:00,,
yikama,DMO,2021/188,2021-08-17,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-043,64.0,2021-10-20 00:00:00,,
yikama,ÖZEL,2021/282,2021-08-18,TÜRKİYE GAZETESİ HASTANESİ,TÜRKİYE GAZETESİ HASTANESİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-044,20.0,2021-09-07 00:00:00,,
yikama,DMO,2021/285,2021-08-19,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,PAZARCIK DEVLET HASTANESİ,KAHRAMANMARAŞ,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-045,64.0,2021-10-22 00:00:00,,
yikama,DMO,2021/307,2021-10-15,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,KAYSERİ DEVELİ HATİCE-MUAMMER KOCATÜRK DEVLET HASTANESİ,KAYSERİ,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-046,64.0,2021-12-18 00:00:00,,
yikama,DMO,2021/306,2021-10-15,DMO TRABZON BÖLGE MÜDÜRLÜĞÜ,GİRESUN ÜNİVERSİTESİ DİŞ FAKÜLTESİ HASTANESİ,GİRESUN,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-047,59.0,2021-12-13 00:00:00,,
yikama,DMO,2021/189,2021-08-24,DMO DİYARBAKIR BÖLGE MÜDÜRLÜĞÜ,KIZILTEPE DEVLET HASTANESİ,MARDİN,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-048,59.0,2021-10-22 00:00:00,,
yikama,YURTDIŞI,2021/190,2021-08-25,IRAK,IRAK,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-049,21.0,2021-09-15 00:00:00,,
yikama,YURTDIŞI,2021/191,2021-08-25,IRAK,IRAK,IRAK,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-050,21.0,2021-09-15 00:00:00,,
yikama,YURTDIŞI,2021/192,2021-10-28,UKRAYNA,UKRAYNA,UKRAYNA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-051,30.0,31.11.2021,,
yikama,DMO,2021/193,2022-03-25,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,KOCAELİ ÜNİVERSİTESİ UYGULAMA VE ARAŞTIRMA HASTANESİ,KOCAELİ,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-052,30.0,60 GÜN,,
yikama,YURTDIŞI,2021/214,2021-09-10,ROMANYA,ROMANYA,ROMANYA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-053,35.0,2021-10-15 00:00:00,,
yikama,DMO,2021/308,2021-09-24,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-054,64.0,2021-11-27 00:00:00,,
yikama,DMO,2021/286,2021-11-02,DMO GENEL MÜDÜRLÜĞÜ,SİNCAN AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-055,64.0,2022-01-05 00:00:00,,
yikama,ÖZEL,2021/212,2022-05-10,ASZ KİMYA TİC. LTD. ŞTİ.,DİYARBAKIR ÖZEL DÜNYA HASTANESİ,DİYARBAKIR,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-056,17.0,2022-05-27 00:00:00,,
yikama,İHALE,2021/194,2021-11-01,GÖLBAŞI DEVLET HASTANESİ,GÖLBAŞI DEVLET HASTANESİ,ANKARA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-057,14.0,2021-11-15 00:00:00,,
yikama,DMO,2021/303,2021-10-22,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,YALOVA DEVLET HASTANESİ,YALOVA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT ,2021/05-058,59.0,2021-12-20 00:00:00,,
yikama,DMO,2021/304,2021-11-19,DMO GENEL MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-059,64.0,2022-01-22 00:00:00,,
yikama,DMO,2021/195,2021-11-10,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY SAMANDAĞ DEVLET HASTANESİ,HATAY,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-060,64.0,2022-01-13 00:00:00,,
yikama,DMO,2021/305,2021-11-12,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-061,64.0,2022-01-15 00:00:00,,
yikama,DMO,2021/309,2021-11-12,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-062,64.0,2022-01-15 00:00:00,,
yikama,İHALE,2021/311,2021-11-16,İSTANBUL TIP FAKÜLTESİ SAĞLIK UYGULAMA ARAŞTIRMA MERKEZİ,İSTANBUL TIP FAKÜLTESİ SAĞLIK UYGULAMA ARAŞTIRMA MERKEZİ,İSTANBUL,GY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-063,61.0,2022-01-16 00:00:00,,
yikama,DMO,2021/404,2021-11-02,DMO GENEL MÜDÜRLÜĞÜ,SİNCAN AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-064,64.0,2022-01-05 00:00:00,,
yikama,DMO,2021/312,2021-11-19,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,ŞİŞLİ HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-065,64.0,2022-01-22 00:00:00,,
yikama,DMO,2021/313,2021-11-19,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,SAKARYA TOYOTASA ACİL YARDIM HASTANESİ,SAKARYA,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-066,63.0,2022-01-21 00:00:00,,
yikama,ÖZEL,2021/435,2021-11-23,RST MEDİKAL,RST MEDİKAL,ANKARA,GY 290 O,290 LT TEK KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-067,25.0,2021-12-18 00:00:00,,
yikama,ÖZEL,2021/197,2021-11-26,RST MEDİKAL,RST MEDİKAL,ANKARA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-068,22.0,2021-12-18 00:00:00,,
yikama,DMO,2021/196,2021-12-09,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-069,64.0,2022-02-11 00:00:00,,
yikama,ÖZEL,2021/211,2021-12-20,ALTUNİZADE SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,ACADEMİC HOSPİTAL,İSTANBUL,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-070,11.0,2021-12-31 00:00:00,,
yikama,ÖZEL,2021/213,2021-12-21,PROMED MEDİKAL SAN.TİC.LTD.ŞTİ,PROMED MEDİKAL SAN.TİC.LTD.ŞTİ,ADANA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-071,30.0,2022-01-20 00:00:00,,
yikama,YURTDIŞI,2021/210,2021-12-29,NİGERİA,NİGERİA,NİGERİA,GY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2021/05-072,23.0,2022-01-21 00:00:00,,
yikama,STOK,2021/198,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/199,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/200,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/201,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/203,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/204,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/205,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,STOK,2021/206,2021-06-02,STOK,STOK,STOK,,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,,,,,
yikama,DMO,2021/468,2021-11-19,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,TSY 360,360 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,360 LT,2021/05-073,,2022-02-11 00:00:00,,
yikama,DMO,2022/088,2022-02-11,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BİLECİK BOZÜYÜK AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,BİLECİK,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2022/05-009,64,2022-04-16,,
yikama,DMO,2022/083,2022-03-08,DMO ERZURUM İRTİBAT BÜROSU,ARTVİN YUSUFELİ DEVLET HASTANESİ,ARTVİN YUSUFELİ,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2022/05-003,125,2022-07-11,,
yikama,DMO,2022/085,2022-01-06,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AFYONKARAHİSAR İL SAĞLIK MÜDÜRLÜĞÜ,AFYONKARAHİSAR,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2022/05-006,136,2022-05-22,,
yikama,DMO,2022/086,2022-01-06,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,AFYONKARAHİSAR İL SAĞLIK MÜDÜRLÜĞÜ,AFYONKARAHİSAR,TSY 290 O,290 LT ÇİFT KAPILI YIKAMA DEZENFEKSİYON CİHAZI,290 LT,2022/05-007,136,2022-05-22,,
