DMO-ÖZEL-İHALE-DEMO,SİPARİŞ NO/İŞ EMRİ NO/TEKLİF NO,SİPARİŞ TARİHİ,SİPARİŞİ VEREN/2021,KURULUM YERİ /2021,İL,ÜRÜN MODELİ,ÜRÜN ADI,LİTRE,SERİ NO,"TESLİM 
SÜRESİ",TESLİM TARİHİ,Teslim Süresi
ÖZEL,2021/173,2021-06-26,GELİŞİM ÜNİVERSİTESİ,GELİŞİM ÜNİVERSİTESİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-144,2021-07-25 00:00:00,,29.0
ÖZEL,2021/174,2021-07-06,ŞAFAK DİŞ DEPOSU ARAÇ GEREÇLERİ,KENT ÜNİVERSİTESİ,İSTANBUL,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-148,2021-08-01 00:00:00,,26.0
ÖZEL,2021/175,2021-08-16,LOTEZ SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,HASEKİ EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-061,2021-09-03 00:00:00,,18.0
ÖZEL,2021/176,2021-08-16,LOTEZ SAĞLIK HİZMETLERİ SAN.TİC.A.Ş.,HASEKİ EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-062,2021-09-03 00:00:00,,18.0
DMO,2021/177,2021-11-10,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,ISPARTA SÜLEYMAN DEMİREL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,ISPARTA,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-048,2022-01-08 00:00:00,,59.0
DMO,2020/412,2021-05-18,DMO VAN BÖLGE MÜDÜRLÜĞÜ,HAKKARİ DERECİK DEVLET HASTANESİ,HAKKARİ,ERS 6610 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2021/01-129,2021-07-21 00:00:00,,64.0
YURTDIŞI,2021/178,2021-05-20,VIETNAM ACT,VIETNAM ACT,VİETNAM,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-051,2021-06-10 00:00:00,,21.0
YURTDIŞI,2021/060,2021-06-17,AMAX INTERNATİONAL,AMAX INTERNATİONAL,PAKİSTAN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-053,2021-06-26 00:00:00,,9.0
DMO,2021/058,2021-06-15,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BOLU İZZET BAYSAL DEVLET HASTANESİ,BOLU,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-030,2021-08-13 00:00:00,,59.0
YURTDIŞI,2021/184,2021-06-02,AMAX INTERNATİONAL,AMAX INTERNATİONAL,PAKİSTAN,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2021/01-131,2021-06-26 00:00:00,,24.0
YURTDIŞI,2021/185,2021-06-02,AMAX INTERNATİONAL,AMAX INTERNATİONAL,PAKİSTAN,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2021/01-132,2021-06-26 00:00:00,,24.0
ÖZEL,2021/216,2021-06-04,MEDİGRUP EĞİTİM DANIŞMANLIK,MEDİGRUP EĞİTİM DANIŞMANLIK,İSTANBUL,STR 6613 S,550 LT TEK KAPILI OTOKLAV CİHAZI,550 LT,2021/01-130,2021-06-19 00:00:00,,15.0
YURTDIŞI,2020/315,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-077,2021-06-30 00:00:00,,25.0
YURTDIŞI,2021/218,2021-06-05,NASİRİYAH,NASİRİYAH,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-078,2021-06-30 00:00:00,,25.0
YURTDIŞI,2021/221,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GOLDBERG 250 D,250 LT ÇİFT KAPILI OTOKLAV CİHAZI,250 LT,2021/01-079,2021-07-01 00:00:00,,21.0
DMO,2021/443,2021-12-06,DMO GENEL MÜDÜRLÜĞÜ,TOPRAKLIK ADSM,ANKARA,ERS 6613 S,550 LT TEK KAPILI OTOKLAV CİHAZI,550 LT,2021/01-080,2022-02-03 00:00:00,,59.0
YURTDIŞI,2021/223,2021-06-10,ALHADARAT NASİRİYAH,ALHADARAT NASİRİYAH,IRAK,GOLDBERG 250 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2021/01-075,2021-07-01 00:00:00,,21.0
YURTDIŞI,2021/180,2021-06-17,AMAX INTERNATİONAL,AMAX INTERNATİONAL,PAKİSTAN,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-052,2021-06-26 00:00:00,,9.0
ÖZEL,2021/228,2021-06-17,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-135,2021-07-22 00:00:00,,35.0
ÖZEL,2021/229,2021-06-17,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-136,2021-07-22 00:00:00,,35.0
ÖZEL,2021/230,2021-06-17,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-137,2021-07-22 00:00:00,,35.0
ÖZEL,2021/231,2021-06-17,ASZ KİMYA,KİLİS DEVLET HASTANESİ,KİLİS,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-138,2021-07-22 00:00:00,,35.0
ÖZEL,2021/179,2021-07-02,LTS GLOBAL SAĞLIK SAN.TİC.A.Ş.,ŞİŞLİ SARIYER HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-146,2021-07-05 00:00:00,,3.0
ÖZEL,2021/227,2021-07-02,LTS GLOBAL SAĞLIK SAN.TİC.A.Ş.,ŞİŞLİ SARIYER HAMİDİYE EFTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-147,2021-07-05 00:00:00,,3.0
DMO,2021/236,2021-08-17,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-035,2021-10-20 00:00:00,,64.0
YURTDIŞI,2020/235,2021-06-21,TM,TM ,MISIR,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-064,2021-07-11 00:00:00,,20.0
YURTDIŞI,2020/062,2021-06-21,TM,TM ,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-133,2021-07-11 00:00:00,,20.0
YURTDIŞI,2020/306,2021-06-21,TM,TM ,MISIR,GOLDBERG 300 S,300 LT TEK KAPILI OTOKLAV CİHAZI,300 LT,2021/01-081,2021-07-11 00:00:00,,20.0
YURTDIŞI,2020/243,2021-06-21,TM,TM ,MISIR,GOLDBERG 120 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-065,2021-07-11 00:00:00,,20.0
YURTDIŞI,2020/379,2021-06-29,TM,TM ,MISIR,GOLDBERG 422 S,422 LT TEK KAPILI OTOKLAV CİHAZI,422 LT,2021/01-085,2021-07-12 00:00:00,,13.0
DMO,2021/244,2021-08-17,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-036,2021-10-20 00:00:00,,64.0
DMO,2021/245,2021-08-19,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,PAZARCIK DEVLET HASTANESİ,KAHRAMANMARAŞ,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-037,2021-10-22 00:00:00,,64.0
YURTDIŞI,2021/246,2021-08-25,IRAK,IRAK,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-152,2021-09-15 00:00:00,,21.0
YURTDIŞI,2021/247,2021-08-25,IRAK,IRAK,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-153,2021-09-15 00:00:00,,21.0
ÖZEL,2021/393,2022-03-18,ÖZEL ALFA EYNAL SAĞLIK,ÖZEL ALFA EYNAL SAĞLIK,İZMİR,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-016,2022-03-18 00:00:00,,0.0
YURTDIŞI,2021/249,2021-11-03,IRAK,IRAK,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550LT,2021/01-184,2021-11-30 00:00:00,,27.0
DMO,2021/250,2021-08-13,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,KİLİS ADSM,KİLİS,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-025,2021-10-16 00:00:00,,64.0
ÖZEL,2021/251,2021-08-31,BAŞKENT HİTİT MEDİKAL SAĞ.HİZ.A.Ş.,BAŞKENT HİTİT MEDİKAL SAĞ.HİZ.A.Ş.,KASTAMONU,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-155,2021-09-30 00:00:00,,30.0
YURTDIŞI,2021/252,2022-03-24,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-156,2021-10-01 00:00:00,,-174.0
YURTDIŞI,2020/126,2021-07-10,SURİYE,SURİYE,SURİYE,ES 100,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2021/01-149,2021-07-28 00:00:00,,18.0
YURTDIŞI,2020/127,2021-07-10,SURİYE,SURİYE,SURİYE,ES 100,100 LT DİK TİP OTOKLAV CİHAZI,100 LT,2021/01-150,2021-07-28 00:00:00,,18.0
ÖZEL,2020/498,2021-03-22,ETA 21 İNŞAAT,JİYAN HOSPİTAL,DİYARBAKIR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-058,2021-04-05 00:00:00,,14.0
ÖZEL,2020/495,2021-03-22,ETA 21 İNŞAAT,JİYAN HOSPİTAL,DİYARBAKIR,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-059,2021-04-05 00:00:00,,14.0
DMO,2020/507,2021-07-28,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,SİVAS CUMHURİYET ÜNİVERSİTESİ REKTÖRLÜĞÜ,SİVAS,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-055,2021-09-25 00:00:00,,59.0
YURTDIŞI,2021/001,2021-08-04,"MME, LLC","MME, LLC",UKRAYNA,STR 5512 D,300 LİTRE ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-056,2021-08-20 00:00:00,,16.0
DMO,2021/290,2021-09-21,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,KOCAELİ KARAMÜRSEL DEVLET HASTANESİ,KOCAELİ,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-038,2021-11-19 00:00:00,,59.0
DMO,2021/291,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-039,2021-11-27 00:00:00,,64.0
YURTDIŞI,2021/292,2021-11-03,IRAK,IRAK,IRAK,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-185,2021-11-30 00:00:00,,27.0
DMO,2021/293,2021-09-24,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-161,2021-11-27 00:00:00,,64.0
ÖZEL,2021/235,2021-09-15,HRS HASTANESİ,HRS HASTANESİ,ANKARA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-034,2021-09-16 00:00:00,,1.0
DMO,2021/295,2021-11-19,DMO GENEL MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-014,2021-09-17 00:00:00,,-63.0
DMO,2021/296,2021-11-19,DMO GENEL MÜDÜRLÜĞÜ,TARSUS DEVLET HASTANESİ,MERSİN,ERS 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-015,2021-09-18 00:00:00,,-62.0
DMO,2021/299,2021-09-24,DMO ELAZIĞ BÖLGE MÜDÜRLÜĞÜ,BATTALGAZİ DEVLET HASTANESİ,MALATYA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-160,2021-11-27 00:00:00,,64.0
YURTDIŞI,2021/329,2021-09-10,ROMANYA,ROMANYA,ROMANYA,STR 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-159,2021-10-15 00:00:00,,35.0
DMO,2021/330,2021-12-08,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,KULA DEVLET HASTANESİ,MANİSA,ERS 6610 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-087,2022-02-05 00:00:00,,59.0
YURTDIŞI,2020/225,2021-09-10,ROMANYA,ROMANYA,ROMANYA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-157,2021-10-15 00:00:00,,35.0
YURTDIŞI,2020/242,2021-09-10,ROMANYA,ROMANYA,ROMANYA,STR 4407 S,120 LT TEK KAPILI OTOKLAV CİHAZI,120 LT,2021/01-158,2021-10-15 00:00:00,,35.0
DMO,2021/344,2021-11-02,DMO GENEL MÜDÜRLÜĞÜ,SİNCAN AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-182,2022-01-05 00:00:00,,64.0
DMO,2021/062,2021-11-02,DMO GENEL MÜDÜRLÜĞÜ,SİNCAN AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,ANKARA,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-011,2022-01-05 00:00:00,,64.0
DMO,2021/294,2021-10-15,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR KARABAĞLAR BELEDİYE BAŞKANLIĞI VETERİNER İŞLERİ MÜDÜRLÜĞÜ,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-151,2021-12-18 00:00:00,,64.0
ÖZEL,2021/347,2021-11-02,İZAN OTELCİLİK TURİZM.TİC.İNŞ.A.Ş.,ÖZEL İZAN SAĞLIK HASTANESİ,MUĞLA,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-181,2021-11-12 00:00:00,,10.0
DMO,2021/387,2021-10-15,DMO MERSİN BÖLGE MÜDÜRLÜĞÜ,KAYSERİ DEVELİ HATİCE-MUAMMER KOCATÜRK DEVLET HASTANESİ,KAYSERİ,GOLDBERG 550 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-186,2021-12-18 00:00:00,,64.0
DMO,2021/349,2021-10-22,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,YALOVA DEVLET HASTANESİ,YALOVA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-171,2021-12-25 00:00:00,,64.0
DMO,2021/350,2021-10-22,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,YALOVA DEVLET HASTANESİ,YALOVA,GOLDBERG 840 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-172,2021-12-25 00:00:00,,64.0
ÖZEL,2021/351,2021-10-12,ORDEM YAPI İTH.İHR.SAN.TİC.LTD.ŞTİ.,TRAKYA ÜNİVERSİTESİ,EDİRNE,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-063,2021-11-11 00:00:00,,30.0
ÖZEL,2021/352,2021-10-12,ORDEM YAPI İTH.İHR.SAN.TİC.LTD.ŞTİ.,TRAKYA ÜNİVERSİTESİ,EDİRNE,STR 7715 D,840 LT ÇİFT KAPILI OTOKLAV CİHAZI,840 LT,2021/01-168,2021-11-11 00:00:00,,30.0
YURTDIŞI,2021/356,2021-10-07,ROMANYA,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-163,2021-11-07 00:00:00,,31.0
YURTDIŞI,2021/357,2021-10-07,ROMANYA,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-164,2021-11-07 00:00:00,,31.0
YURTDIŞI,2021/358,2021-10-07,ROMANYA,ROMANYA,ROMANYA,STR 5512 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-165,2021-11-07 00:00:00,,31.0
DMO,2021/365,2021-10-08,DMO GENEL MÜDÜRLÜĞÜ,KUZEY KIBRIS TÜRK CUMHURİYETİ,MERSİN,ERS 6613 S,550 LT TEK KAPILI OTOKLAV CİHAZI,550 LT,2021/01-167,2021-11-01 00:00:00,,24.0
YURTDIŞI,2021/373,2021-11-11,MISIR,MISIR,MISIR,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-086,2021-12-04 00:00:00,,23.0
YURTDIŞI,2021/375,2021-10-25,ROMANYA,ROMANYA,ROMANYA,STR 7712 S,675 LT TEK KAPILI OTOKLAV CİHAZI,675 LT,2021/01-173,2021-11-20 00:00:00,,26.0
YURTDIŞI,2021/379,2021-10-27,MISIR,MISIR,MISIR,GOLDBERG 250 S,250 LT TEK KAPILI OTOKLAV CİHAZI,250 LT,2021/01-179,2021-11-25 00:00:00,,29.0
ÖZEL,2021/248,2021-11-03,A HOSPİTAL SAĞLIK HİZMETLERİ ,A HOSPİTAL SAĞLIK HİZMETLERİ ,İSTANBUL,STR 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-154,2021-11-15 00:00:00,,12.0
YURTDIŞI,2021/389,2021-11-12,LİBYA,LİBYA,LİBYA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-069,2021-12-16 00:00:00,,34.0
YURTDIŞI,2021/390,2021-11-12,LİBYA,LİBYA,LİBYA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-070,2021-12-16 00:00:00,,34.0
DMO,2021/391,2021-11-12,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-049,2022-01-15 00:00:00,,64.0
DMO,2021/392,2021-11-12,DMO İSTANBUL BÖLGE MÜDÜRLÜĞÜ,İSTANBUL FİZİK TEDAVİ REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-050,2022-01-15 00:00:00,,64.0
DMO,2021/420,2021-11-29,DMO İZMİR BÖLGE MÜDÜRLÜĞÜ,İZMİR TEPECİK EĞİTİM ARAŞTIRMA HASTANESİ,İZMİR,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-017,2022-01-27 00:00:00,,59.0
YURTDIŞI,2021/409,2021-11-12,LİBYA,LİBYA,LİBYA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-088,2022-01-28 00:00:00,,77.0
YURTDIŞI,2021/410,2021-11-12,LİBYA,LİBYA,LİBYA,GOLDBERG 160 S,160 LT TEK KAPILI OTOKLAV CİHAZI,160 LT,2021/01-089,2022-01-29 00:00:00,,78.0
YURTDIŞI,2021/414,2021-12-22,BG BULTMED,BG BULTMED,BULGARİSTAN,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-189,2022-01-11 00:00:00,,20.0
YURTDIŞI,2021/415,2021-12-22,BG BULTMED,BG BULTMED,BULGARİSTAN,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-190,2022-01-11 00:00:00,,20.0
YURTDIŞI,2021/416,2021-12-29,NİGERİA,NİGERİA,NİGERİA,GOLDBERG 300 D,300 LT ÇİFT KAPILI OTOKLAV CİHAZI,300 LT,2021/01-028,2022-01-21 00:00:00,,23.0
DMO,2021/348,2021-12-02,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,HATAY SAMANDAĞ DEVLET HASTANESİ,HATAY,ERS 6613 D,550 LT ÇİFT KAPILI OTOKLAV CİHAZI,550 LT,2021/01-169,2022-01-30 00:00:00,,59.0
YURTDIŞI,2021/465,2021-12-22,BG BULTMED,BG BULTMED,BULGARİSTAN,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2021/01-191,2022-01-11 00:00:00,,20.0
YURTDIŞI,2021/466,2021-12-22,IRAK,IRAK,IRAK,GOLDBERG 160 D,160 LT ÇİFT KAPILI OTOKLAV CİHAZI,160 LT,2021/01-192,2022-01-11 00:00:00,,20.0
YURTDIŞI,2019/326,2021-12-22,MODERN MEDICAL,MODERN MEDICAL,IRAK,GOLDBERG 422 D,422 LT ÇİFT KAPILI OTOKLAV CİHAZI,422 LT,2021/01-193,2021-12-30 00:00:00,,8.0
