kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi
REVERSE OSMOS ,YURTDIŞI,2022/365,28.09.2022,KAZAKİSTAN,KAZAKİSTAN,KAZAKİSTAN,PREMIUM 840,,2000 LT/SAAT,2022/08-037,32,30.10.2022
REVERSE OSMOS ,ÖZEL,2022/394,14.10.2022,İSTANBUL HASEKİ EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL HASEKİ EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,PREMIUM 640,,1500 LT/SAAT,2022/08-038,16,30.10.2022
REVERSE OSMOS ,ÖZEL,2022/402,17.10.2022,SAMSUN BAFRA AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,SAMSUN BAFRA AĞIZ VE DİŞ SAĞLIĞI MERKEZİ, SAMSUN,PREMIUN 240,,500 LT/SAAT,2022/08-039,29,15.11.2022
REVERSE OSMOS ,ÖZEL,2022/403,20.10.2022,AKSARAY ÜNİVERSİTESİ REKTÖRLÜĞÜ İDARİ VE MALİ İŞLER BAŞKANLIĞI,AKSARAY ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,AKSARAY,PREMİUM 140,,250 LT/SAAT,2022/08-040,20,9.11.2022
REVERSE OSMOS ,YURTDIŞI,2022/407,25.10.2022,CEZAYİR,CEZAYİR,CEZAYİR,PREMIUN 240,,500 LT/SAAT,2022/08-041,25,19.11.2022
REVERSE OSMOS ,YURTDIŞI,2022/408,25.10.2022,CEZAYİR,CEZAYİR,CEZAYİR,PREMIUN 240,,500 LT/SAAT,2022/08-042,25,19.11.2022
REVERSE OSMOS ,ÖZEL,2022/413,31.10.2022,ARTVİN YUSUFELİ DEVLET HASTANESİ,ARTVİN YUSUFELİ DEVLET HASTANESİ,ARTVİN,PREMİUM 140,,250 LT/SAAT,2022/08-043,20,20.11.2022
REVERSE OSMOS ,ÖZEL,2022/509,7.12.2022,SİNCAN DR NAFİZ KÖREZ DEVLET HASTANESİ,SİNCAN DR NAFİZ KÖREZ DEVLET HASTANESİ,ANKARA,PREMIUM 640,,1500 LT/SAAT,2022/08-044,23,30.12.2022
REVERSE OSMOS ,İHALE,2023/022,4.01.2023,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ,OSMANİYE DEVLET HASTANESİ,OSMANİYE,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,1000 LT/SAAT,2023/08-001,47,20.02.2023
REVERSE OSMOS ,YURTDIŞI,2023/093,18.01.2023,KIMA HEALTH PARTNER ,DAKAR/SENEGAL,SENEGAL,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-002,13,31.01.2023
REVERSE OSMOS ,YURTDIŞI,2023/097,15.02.2023,GET SARL,BENİN,BENİN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-003,20,7.03.2023
REVERSE OSMOS ,YURTDIŞI,2023/098,15.02.2023,GET SARL,BENİN,BENİN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-004,20,7.03.2023
REVERSE OSMOS ,YURTDIŞI,2023/099,15.02.2023,GET SARL,BENİN,BENİN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-005,20,7.03.2023
REVERSE OSMOS ,YURTDIŞI,2023/100,15.02.2023,GET SARL,BENİN,BENİN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-006,20,7.03.2023
REVERSE OSMOS ,ÖZEL,2023/106,17.02.2023,FALCON GRUP TIBBİ CİHAZLAR A.Ş.,MUCUR DEVLET HASTANESİ,KIRŞEHİR,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-007,11,28.02.2023
REVERSE OSMOS ,YURTDIŞI,2023/108,21.02.2023,DT -IRAK,IRAK,IRAK,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-008,22,15.03.2023
REVERSE OSMOS ,ÖZEL,2023/112,3.03.2023,FALCON GRUP TIBBİ CİHAZLAR A.Ş.,NİĞDE DEVLET HASTANESİ,NİĞDE,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-009,14,17.03.2023
REVERSE OSMOS ,YURTDIŞI,2023/117,31.03.2023,NİCU-ROMANYA,ROMANYA,ROMANYA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-010,24,24.04.2023
REVERSE OSMOS ,ÖZEL,2023/160,24.04.2023,PROMED MEDİKAL SAN VE TİC. LTD. ŞTİ.,ADANA SEYHAN DEVLET HASTANESİ,ADANA,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-011,8,2.05.2023
REVERSE OSMOS ,İHALE,2023/161,24.04.2023,GÜMÜŞHANE İL SAĞLIK MÜDÜRLÜĞÜ,GÜMÜŞHANE DEVLET HASTANESİ,GÜMÜŞHANE,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-012,35,29.05.2023
REVERSE OSMOS ,YURTDIŞI,2023/165,25.04.2023,TEKIMS -IRAK,IRAK,IRAK,ULTIMATE 280,2000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,2000 LT/SAAT,2023/08-013,41,5.06.2023
REVERSE OSMOS ,YURTDIŞI,2023/166,25.04.2023,TEKIMS -IRAK,IRAK,IRAK,ULTIMATE 880,8000 LT/SAAT REVERSE OSMOS SU ARITMA CİHAZI,8000 LT/SAAT,2023/08-014,41,5.06.2023
REVERSE OSMOS ,YURTDIŞI,2023/167,25.04.2023,TEKIMS -IRAK,IRAK,IRAK,ULTIMATE 880,8000 LT/SAAT REVERSE OSMOS SU ARITMA CİHAZI,8000 LT/SAAT,2023/08-015,41,5.06.2023
REVERSE OSMOS ,YURTDIŞI,2023/168,25.04.2023,TEKIMS -IRAK,IRAK,IRAK,ULTIMATE 1080,10000 LT/SAAT REVERSE OSMOS SU ARITMA CİHAZI,10000 LT/SAAT,2023/08-016,41,5.06.2023
REVERSE OSMOS ,YURTDIŞI,2023/190,10.05.2023,CEZAYİR,CEZAYİR,CEZAYİR,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-017,31,10.06.2023
REVERSE OSMOS ,ÖZEL,2023/198,16.05.2023,BİOKAN SAĞLIK ÜRÜNLERİ SAN VE TİC. LTD. ŞTİ.,ÖZEL HÜMA HASTANESİ,KAYSERİ,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-018,10,26.05.2023
REVERSE OSMOS ,İHALE,2023/204,6.06.2023,RİZE İL SAĞLIK MÜDÜRLÜĞÜ,RİZE EĞİTİM VE ARAŞTIRMA HASTANESİ,RİZE EĞİTİM VE ARAŞTIRMA HASTANESİ,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-019,45,21.07.2023
REVERSE OSMOS ,İHALE,2023/205,8.06.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,HATAY DEPREM BÖLGESİ,HATAY,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-020,18,26.06.2023
REVERSE OSMOS ,İHALE,2023/206,8.06.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,HATAY DEPREM BÖLGESİ,HATAY,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-021,18,26.06.2023
REVERSE OSMOS ,İHALE,2023/207,8.06.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,HATAY DEPREM BÖLGESİ,HATAY,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-022,18,26.06.2023
REVERSE OSMOS ,İHALE,2023/208,8.06.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,HATAY DEPREM BÖLGESİ,HATAY,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-023,18,26.06.2023
REVERSE OSMOS ,ÖZEL,2023/209,8.06.2023,ANTALYA BİLİM ÜNİVERSİTESİ,ANTALYA BİLİM ÜNİVERSİTESİ,ANTALYA,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,1000 LT/SAAT,2023/08-024,18,26.06.2023
REVERSE OSMOS ,YURTDIŞI,2023/210,8.06.2023,KABUL EMN HOSP,AFGANİSTAN,AFGANİSTAN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-025,37,15.07.2023
REVERSE OSMOS ,YURTDIŞI,2023/221,26.10.2023,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,1000 LT/SAAT,2023/08-026,45,10.12.2023
REVERSE OSMOS ,ÖZEL,2023/236,19.06.2023,DEMİROĞULLARI SAĞLIK HİZMETLERİ TURİZM TEKSTİL TEMİZLİK TİC.VE SAN LTD.ŞTİ,ÖZEL ÇAĞSU HASTANESİ,BOLU,PREMIUM 140,300 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,300 LT/SAAT,2023/08-027,25,14.07.2023
REVERSE OSMOS ,İHALE,2023/239,6.07.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,ANKARA 75. YIL AĞIZ VE DİŞ SAĞLIĞI BÖLGESİ,ANKARA,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-028,20,26.07.2023
REVERSE OSMOS ,İHALE,2023/242,7.07.2023,TOKAT İL SAĞLIK MÜDÜRLÜĞÜ,TURHAL DEVLET HASTANESİ,TOKAT,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-029,30,6.08.2023
REVERSE OSMOS ,İHALE,2023/256,24.07.2023,TARIM VE ORMAN BAKANLIĞI GIDA VE KONTROL GENEL MÜDÜRLÜĞÜ VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ,GIDA VE KONTROL MÜDÜRLÜĞÜ ,ANKARA,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,1000 LT/SAAT,2023/08-030,30,23.08.2023
REVERSE OSMOS ,YURTDIŞI,2023/258,2.08.2023,ROMANYA,ROMANYA,ROMANYA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-031,34,5.09.2023
REVERSE OSMOS ,YURTDIŞI,2023/271,31.08.2023,IRAK,IRAK,IRAK,PREMIUM 340,750 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,750 LT/SAAT,2023/08-032,4,4.09.2023
REVERSE OSMOS ,İHALE,2023/230,18.09.2023,KIZILCAHAMAM DEVLET HASTANESİ,KIZILCAHAMAM DEVLET HASTANESİ,ANKARA,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-033,14,2.10.2023
REVERSE OSMOS ,İHALE,2023/332,2.10.2023,KAMU HASTANELERİ GENEL MÜDÜRLÜĞÜ,ANTALYA ŞEHİR HASTANESİ,ANTALYA,PREMIUM 840,2000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,2000 LT/SAAT,2023/08-034,45,16.11.2023
REVERSE OSMOS ,ÖZEL,2023/346,17.10.2023,SAMSUN ALAÇAM DEVLET HASTANESİ,ALAÇAM DEVLET HASTANESİ,SAMSUN,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2023/08-035,3,20.10.2023
REVERSE OSMOS ,ÖZEL,2023/424,21.11.2023,ÖZEL SANCAKTEPE HASTANESİ,ÖZEL SANCAKTEPE HASTANESİ,İSTANBUL,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2023/08-036,19,10.12.2023
REVERSE OSMOS ,ÖZEL,2023/431,30.11.2023,BARTIN DEVLET HASTANESİ,BARTIN DEVLET HASTANESİ,BARTIN,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,1000 LT/SAAT,2023/08-037,13,13.12.2023
REVERSE OSMOS ,YURTDIŞI,2024/125,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-001,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/126,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-002,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/127,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-003,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/128,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-004,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/129,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-005,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/130,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-006,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/131,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-007,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/132,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-008,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/133,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-009,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/134,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-010,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/135,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-011,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/136,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-012,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/137,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-013,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/138,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-014,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/139,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-015,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/140,10.01.2024,FAS,FAS,FAS,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-016,41,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/154,22.01.2024,TEKIMS,IRAK,IRAK,ULTIMATE 880,8000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,8000 LT/SAAT,2024/08-017,29,20.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/163,8.02.2024,CEZAYİR,CEZAYİR,CEZAYİR,PREMIUM 240,500LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2024/08-018,29,8.03.2024
REVERSE OSMOS ,YURTDIŞI,2024/164,8.02.2024,CEZAYİR,CEZAYİR,CEZAYİR,PREMIUM 240,500LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,500 LT/SAAT,2024/08-019,30,9.03.2024
REVERSE OSMOS ,ÖZEL,2024/171,16.02.2024,HAVZA DEVLET HASTANESİ,HAVZA DEVLET HASTANESİ,SAMSUN,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-020,5,21.02.2024
REVERSE OSMOS ,YURTDIŞI,2024/174,19.02.2024,ROMANYA,ROMANYA,ROMANYA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-021,34,24.03.2024
REVERSE OSMOS ,YURTDIŞI,2024/179,6.03.2024,NİCU,ROMANYA,ROMANYA,PREMIUM 240,500 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,500 LT/SAAT,2024/08-022,40,15.04.2024
REVERSE OSMOS ,YURTDIŞI,2024/183,14.03.2024,UN,MOLDOVA,MOLDOVA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-023,32,15.04.2024
REVERSE OSMOS ,YURTDIŞI,2024/184,14.03.2024,UN,MOLDOVA,MOLDOVA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-024,32,15.04.2024
REVERSE OSMOS ,YURTDIŞI,2024/185,14.03.2024,UN,MOLDOVA,MOLDOVA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-025,32,15.04.2024
REVERSE OSMOS ,YURTDIŞI,2024/186,14.03.2024,UN,MOLDOVA,MOLDOVA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-026,32,15.04.2024
REVERSE OSMOS ,ÖZEL,2024/181,9.03.2024,NURSA İNŞAAT ELEKTRONİK TİC. SAN. LTD. ŞTİ.,AKSARAY AĞIZ VE DİŞ SAĞLIĞI MERKEZİ,AKSARAY,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,1000 LT/SAAT,2024/08-027,37,15.04.2024
REVERSE OSMOS ,YURTDIŞI,2024/249,20.08.2024,IRAK,IRAK,IRAK,ULTIMATE 280,2000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,2000 LT/SAAT,2024/08-028,20,9.09.2024
REVERSE OSMOS ,İHALE,2024/271,20.08.2024,ADANA FATMA TUMURÇİN ADSM,ADANA FATMA TUMURÇİN ADSM,ADANA,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,1000 LT/SAAT,2024/08-029,14,3.09.2024
REVERSE OSMOS ,İHALE,2024/272,20.08.2024,ADANA FATMA TUMURÇİN ADSM,ADANA FATMA TUMURÇİN ADSM,ADANA,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,1000 LT/SAAT,2024/08-030,14,3.09.2024
REVERSE OSMOS ,ÖZEL,2024/274,28.08.2024,ADANA PROMED MEDİKAL SAN.TİC.LTD.ŞTİ.,ADANA PROMED MEDİKAL SAN.TİC.LTD.ŞTİ.,ADANA,PREMIUM 440,1000 LT/SAAT REVERSE OSMOS SU ARITMA SİSTEMİ,1001 LT/SAAT,2024/08-031,14,11.09.2024
REVERSE OSMOS ,ÖZEL,2024/280,17.09.2024,SAKARYA AĞIZ VE DİŞ HASTANESİ,SAKARYA AĞIZ VE DİŞ HASTANESİ,SAKARYA,PREMIUM 340,750 LT/SAAT REVERSE OSMOZ,750 LT/SAAT,2024/08-032,10,27.09.2024
REVERSE OSMOS ,YURTDIŞI,2024/293,28.09.2024,NİCU,ROMANYA,ROMANYA,PREMIUM 140,250 LT/SAAT REVERSE OSMOS SU ARTIMA SİSTEMİ ,250 LT/SAAT,2024/08-033,35,2.11.2024
