kategori,satis_turu,siparis_no,siparis_tarihi,siparisi_veren,kurulum_yeri,il,urun_modeli,urun_adi,litre,seri_no,teslim_suresi,teslim_tarihi,siparis_durumu,irsaliye_tarihi
HIDROJEN PEROKSIT,YURTDIŞI,2022/340,2022-09-12,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-016,42,2022-10-24,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/341,2022-09-12,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-017,42,2022-10-24,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/362,2022-09-24,IRAK - MERİVAN,IRAK,IRAK,GOLDBERG GP 120 S,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-018,30,2022-10-24,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/406,2022-10-25,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-020,25,2022-11-19,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/412,2022-10-25,ROMANYA - NİCU,ROMANYA,ROMANYA,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2022/04-021,26,2022-11-20,,
HIDROJEN PEROKSIT,DMO,2022/471,2022-11-18,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,BURDUR DEVLET HASTANESİ,BURDUR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2022/04-023,64,2023-01-21,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/074,2023-11-13,BANGLADEŞ,BANGLADEŞ,BANGLADEŞ,GOLDBERG GP 200,200 LT ÇİFT KAPILI PLAZMA CİHAZI,200 LT,2023/04-012,30 gün,2023-11-25,,
HIDROJEN PEROKSIT,İHALE,2022/177,2023-12-07,ÇANAKKALE 18 MART ÜNİVERSİTESİ ,ÇANAKKALE 18 MART ÜNİVERSİTESİ ,ÇANAKKALE,GOLDBERG GP 135,135 LT TEK KAPILI PLAZMA CİHAZI,135 LT,2023/04-014,30 gün,2023-12-20,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/243,2023-11-08,SERVICIOS BIOMEDICIOS AROTINCO S.A.C.,LIMA- PERU,PERU,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-009,30 gün,2023-10-13,,
HIDROJEN PEROKSIT,ÖZEL,2022/484,2023-02-18,ÖZEL LOKMAN HEKİM ESNAF HASTANESİ,FETHİYE ÖZEL LOKMAN HEKİM ESNAF HASTANESİ,MUĞLA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-001,30 gün,2023-02-28,,
HIDROJEN PEROKSIT,ÖZEL,2022/508,2023-02-16,ALYANS MEDİKAL,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-002,30 gün,2023-02-28,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/142,2023-04-06,CASPİAN MEDİKAL SAN. VE TİC. LTD. ŞTİ.,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-003,30 gün,2023-07-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/189,2023-05-10,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-004,30 gün,2023-06-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/237,2023-07-03,ARNAVUTLUK,ARNAVUTLUK,ARNAVUTLUK,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-005,30 gün,2023-07-23,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/249,2023-08-31,IRAK,IRAK,IRAK,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-006,30 gün,2023-09-04,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/250,2023-10-26,AZERBAYCAN,AZERBAYCAN,AZERBAYCAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-008,30 gün,2023-12-10,,
HIDROJEN PEROKSIT,ÖZEL,2023/251,2023-07-17,ÇELİK İNŞAAT EMLAK TAAHÜT TİC. LTD. ŞTİ,İNÖNÜ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ HASTANESİ,MALATYA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-007,30 gün,2023-08-31,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/400,2023-11-03,KİNG FAİSAL HOSPİTAL ,RWANDA,RWANDA,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-010,30 gün,2023-12-15,,
HIDROJEN PEROKSIT,DMO,2023/401,2023-11-09,DMO ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,MEHMET AKİF ERSOY ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRESİ BAŞKANLIĞI,BURDUR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-011,30 gün,2024-01-08,,
HIDROJEN PEROKSIT,YURTDIŞI,2023/432,2023-12-05,MODERN AYDIN MEDİKAL -MERİVAN,IRAK,IRAK,GOLDBERG GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2023/04-013,30 gün,2023-12-05,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/141,2024-02-08,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-001,60 GÜN,2024-03-08,,
HIDROJEN PEROKSIT,DMO,2024/142,2024-01-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-002,60 GÜN,2024-03-09,,
HIDROJEN PEROKSIT,DMO,2024/143,2024-01-16,DMO BURSA BÖLGE MÜDÜRLÜĞÜ,BURSA İL SAĞLIK MÜDÜRLÜĞÜ (ALİ OSMAN SÖZMEZ ONKOLOJİ HAST.),BURSA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-003,60 GÜN,2024-03-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/144,2024-03-06,NİCU,ROMANYA,ROMANYA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-004,60 GÜN,2024-03-11,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/152,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 160,160 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-028,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/071,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-030,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,ÖZEL,2022/072,2024-07-26,KÜTAHYA EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA EVLİYA ÇELEBİ EĞİTİM VE ARAŞTIRMA HASTANESİ,KÜTAHYA,GOLDBERG GP 160,160 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,160 LT,2024/04-031,60 GÜN,2024-08-01,,KASET KARŞILIĞI GÖNDERİLMİŞTİR.
HIDROJEN PEROKSIT,YURTDIŞI,2022/179,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 135,135 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,135 LT,2024/04-024,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2022/178,2024-03-27,CEZAYİR,CEZAYİR,CEZAYİR,GOLDBERG GP 135 D,135 LT ÇİFT KAPILI PLAZMA STERİLİZATÖR,135 LT,2024/04-005,60 GÜN,2024-04-17,,
HIDROJEN PEROKSIT,ÖZEL,2024/277,2024-05-02,BİOKAN MEDİKAL,BİOKAN MEDİKAL,KAYSERİ,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-038,60 GÜN,2024-04-18,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/212,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-014,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,İHALE,2024/213,2024-07-16,ÇANAKKALE İL SAĞLIK MÜDÜRLÜĞÜ,ÇANAKKALE BİGA DEVLET HASTANESİ,ÇANAKKALE,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-015,60 GÜN,2024-08-15,,GAZ KASETİ KARŞILIĞI GÖNDERİLMİŞTİR.
HIDROJEN PEROKSIT,DMO,2024/214,2024-07-19,DMO MERSİN İRTİBAT BÜROSU,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRE BAŞKANLIĞI,KARAMAN,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-016,60 GÜN,2024-09-17,,
HIDROJEN PEROKSIT,DMO,2024/215,2024-09-30,DMO GAZİANTEP BÖLGE MÜDÜRLÜĞÜ,OSMANİYE İL SAĞLIK MÜDÜRLÜĞÜ- DÜZİÇİ DEVLET HASTANESİ,OSMANİYE,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-006,65 GÜN,2024-12-04,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/227,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 120,120 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-036,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/228,2024-05-08,MERİVAN- MODERN MEDİKAL,IRAK,IRAK,GOLDBERG GP 135,135 LT ÇİFT KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,135 LT,2024/04-037,60 GÜN,2024-06-10,,
HIDROJEN PEROKSIT,YURTDIŞI,2024/211,2024-08-03,MME LLC,UKRAYNA,UKRAYNA,GOLDBERG GP 120,120 LT TEK KAPILI HİDROJEN PEROKSİT PLAZMA CİHAZI,120 LT,2024/04-013,60 GÜN,2024-06-11,,
